ID,Study,Year,Title,Author(s),URL,Language,Location,Soil Type,Latitude,Longitude,Altitude,Climate,Precipitation (mm),Mean Annual Temperature (°C),Microbes ,Crop,Data Extracted,Funding,Conventional/organic/conservation,Specific Practices,Length of Experiment,Soil Level,Experiment Type,Include?,Reason,Management,Crop.Rotation,Measure of Diversity,m1i,sd1i,n1i,Unit,Measure of Abundance,Abundance,Variance
24.1a,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Shannon,4.6884843,0.4,4,SD,n/a,n/a,n/a
24.1a,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Inceptisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Shannon,4.6943898,0.7,4,SD,n/a,n/a,n/a
24.1b,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Mollisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Conventional,"Potato, winter wheat, spring barley",Simpson,0.9817669,0.01,4,SD,n/a,n/a,n/a
24.1b,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Mollisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Simpson,0.9827068,0.008,4,SD,n/a,n/a,n/a
24.1b,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Mollisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Simpson,0.9809398,0.007,4,SD,n/a,n/a,n/a
24.1b,Funghi,2022,Soil microbial communities following 20 years of fertilisation and crop rotation practices in the Czech Republic,"Martina Kracmarova, Ondrej Uhlik, Michal Strejcek, Jirina Szakova, Jindrich Cerny, Jiri Balik, Pavel Tlustos, Petr Kohout, Katerina Demnerova, Hana Stiborova",https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-022-00406-4,English,Czech Republic,Mollisol,"50°18’46”N, 49°33’16”N, 49°33’23”N, 50°7’40”N","15°43’3”E, 15°21’2”E, 14°58’39”E, 14°22’33”E","265, 525, 610, 286m",Dfb,"573, 665, 666, 495","8.2, 7.0, 7.7, 9.1","Prokaryotes, Funghi",Spring barley,Diversity,European Regional Development Fund,"Conventional, organic","Fertilisation, crop rotation",20,Bulk,Field,Yes,Provides good diversity data,Organic,"Potato, winter wheat, spring barley",Simpson,0.9770301,0.02,4,SD,n/a,n/a,n/a
25,Bacteria,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Conventional,n/a,OTU richness,1566.023166,215,5,SD,n/a,n/a,n/a
25,Bacteria,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Intermediate,n/a,OTU richness,1603.0888031,246,5,SD,n/a,n/a,n/a
25,Bacteria,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Conservation,n/a,OTU richness,1672.5868726,109,5,SD,n/a,n/a,n/a
25.1,Funghi,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Conventional,n/a,OTU richness,265.4761905,42,5,SD,n/a,n/a,n/a
25.1,Funghi,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Intermediate,n/a,OTU richness,272.0238095,43,5,SD,n/a,n/a,n/a
25.1,Funghi,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Conservation,n/a,OTU richness,270.2380952,40,5,SD,n/a,n/a,n/a
25.2,Eukaryotes,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Conventional,n/a,OTU richness,646.875,166,5,SD,n/a,n/a,n/a
25.2,Eukaryotes,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Intermediate,n/a,OTU richness,781.25,231,5,SD,n/a,n/a,n/a
25.2,Eukaryotes,2021,The biodiversity effect of reduced tillage on soil microbiota,"Tobias Guldberg Frosley, Ida Broman Nielsen, Susana Silva Santos, Christopher James Barnes, Hans Henrik Bruun, Rasmus Ejrnaes",https://link.springer.com/article/10.1007/s13280-021-01611-0#Abs1,English,"Zealand, Denmark",Inceptisol,n/a,n/a,n/a,Dfb,n/a,n/a,"Bacteria, Funghi, Eukaryotes",n/a,n/a,Project DNAmark,"Conventional, intermediate, conservation",Tillage,18,Bulk,Field,Yes,Provides good diversity data,Conservation,n/a,OTU richness,618.75,175,5,SD,n/a,n/a,n/a
26,Bacteria,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Conventional,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),20.92,3.06
26,Bacteria,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Conventional,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),21.28,2.48
26,Bacteria,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Organic,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),29.27,2.46
26,Bacteria,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Organic,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),29.04,3.38
26.1,Funghi,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Conventional,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),1.02,0.45
26.1,Funghi,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Conventional,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),0.78,0.11
26.1,Funghi,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Organic,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),1.67,0.43
26.1,Funghi,2022,Composition of the microbial community in long-term organic and conventional farming systems,"Tiina Talve, Liina Talgre, Merili Toom, Liina Edesi, Elina Karron, Birgit Koll, Viacheslav Eremeev, Anne Luik, Evelin Loit, Gunnar Borjesson",http://www.zemdirbyste-agriculture.lt/wp-content/uploads/2022/06/109_2_str13.pdf,English,Estonia,Alfisol,58°22’N,26°40’E,n/a,Dfb,434,2.3,"Bacteria, Funghi",Winter wheat,Abundance,Estonian University,"Conventional, organic",Fertilisation,10,Bulk,Field,Yes,Provides good abundance data,Organic,"Spring barley, red clover, winter wheat, field pea, potato",n/a,n/a,n/a,3,SD,Phospholipid fatty acid (nmol g^-1),1.42,0.33
27,Bacteria,2021,Long-term impacts of organic and conventional farming on the soil microbiome in boreal arable soil,"Krista Peltoniemi, Sannakajsa Velmala, Hannu Fritze, Riitta Lemola, Taina Pennanen",https://www.sciencedirect.com/science/article/pii/S1164556321000509,English,"Toholampi, Ostrobothnia, Finland",Spodosol,63.49’N,24.09’E,n/a,Dfc,n/a,n/a,"Bacteria, Funghi, Archaea",Oat,"Diversity, abundance",European Union’s Horizon 2020 research and innovation programme,"Conventional, organic",Fertilisation,17,Bulk,Field,Yes,Provides good diversity and abundance data,Conventional,"Barley, ley, rye, oats",Operational Taxonomic Units (OTUs),1901,58.1377674149945,5,SD,"Partial bacterial/archaeal 16S rRNA genes, fungal ITS2 region copy amount",14000000000,31300000000
27,Bacteria,2021,Long-term impacts of organic and conventional farming on the soil microbiome in boreal arable soil,"Krista Peltoniemi, Sannakajsa Velmala, Hannu Fritze, Riitta Lemola, Taina Pennanen",https://www.sciencedirect.com/science/article/pii/S1164556321000509,English,"Toholampi, Ostrobothnia, Finland",Spodosol,63.49’N,24.09’E,n/a,Dfc,n/a,n/a,"Bacteria, Funghi, Archaea",Oat,"Diversity, abundance",European Union’s Horizon 2020 research and innovation programme,"Conventional, organic",Fertilisation,17,Bulk,Field,Yes,Provides good diversity and abundance data,Conventional,"Barley, ley, rye, oats",Operational Taxonomic Units (OTUs),1721,67.0820393249937,5,SD,"Partial bacterial/archaeal 16S rRNA genes, fungal ITS2 region copy amount",8600000000,19200000000
